"NC"	"PFOS"	"PFOA"	"Aflatoxin.B1"	"Cadmium.chloride"	"Lasiocarpine"
24.214409	24.254978	25.15505	25.460785	24.631304	24.944769
23.788082	22.598616	23.81756	24.406715	23.017109	23.817694
24.696138	23.83755	24.80689	26.177914	24.902967	26.63945
25.872272	25.215706	26.500168	25.842024	24.813627	24.971472
22.269976	21.244722	22.609653	22.707888	21.67411	22.229015
21.945463	21.229176	21.870884	22.269493	21.873188	23.206234
26.186893	25.137218	26.1493	25.883114	25.225113	24.963434
22.985283	22.507334	22.660027	23.929525	23.415571	25.428848
21.711542	20.654148	21.117134	22.190224	21.783104	22.802908
24.81929	24.510233	25.427547	25.416042	24.667435	24.616682
22.602457	22.418184	23.250818	23.63878	23.012403	24.268446
25.017796	24.488451	25.355087	24.962816	24.644535	24.880732
23.349033	22.877707	23.407108	23.974298	23.648087	23.98415
21.728931	20.90463	21.630342	22.583014	21.633583	21.766829
25.37303	24.621452	25.245768	25.759663	25.246975	28.24133
23.726456	23.674551	24.280807	24.615068	24.211782	24.931139
20.118362	19.364359	19.5533	20.123924	19.87642	20.661272
21.459934	21.210236	21.704075	21.936995	21.633045	21.637096
21.96075	22.379671	22.741215	22.520834	22.014431	22.122028
22.396519	22.25107	22.686337	22.624191	22.275171	22.52443
22.728136	22.621597	23.340841	23.933764	22.978577	23.273863
22.567032	21.936115	22.669447	22.619389	22.31309	23.386007
26.49261	26.742	27.00297	27.184103	27.043505	28.735203
24.894003	25.136425	25.008904	26.81081	26.137442	30.316118
33.08338	33.541775	34.560833	34.51074	34.74857	32.14128
25.266531	24.197704	25.40469	24.875721	23.662243	22.860401
25.882032	25.390276	25.77166	25.903383	25.207727	25.69859
25.17224	24.128832	24.916872	24.538836	23.974625	23.71421
23.642244	22.715439	23.424742	23.67028	23.359306	23.613194
27.314548	26.306274	27.749279	29.166168	27.542984	28.778618
26.017601	25.563192	26.325754	25.984098	25.904243	26.414082
20.40608	20.849787	23.141161	23.897028	22.001566	27.361847
24.237232	23.477034	25.487051	24.03968	23.612888	22.974216
23.89782	23.308151	23.797976	23.479136	23.350584	22.626783
23.205645	22.981318	23.974152	24.373981	23.588121	27.567188
23.209625	22.460537	23.164555	22.985872	22.638021	23.251547
13.876438	13.813386	14.531092	14.760937	14.493057	16.419273
18.822218	18.494102	19.566637	19.75177	18.939745	20.330078
21.206398	20.640217	21.516857	22.338793	21.616362	22.899529
22.492775	21.828526	22.703884	22.845968	22.193401	22.878498
25.652487	24.713907	25.719828	24.705376	24.718922	23.87623
