"NC"	"PFOS"	"PFOA"	"Lasiocarpine"
23.163162	24.093187	24.370676	24.640448
22.413643	22.394165	22.951086	24.261818
24.455215	24.21179	24.225008	26.6575
24.459536	25.23691	24.859795	24.893112
21.104868	21.339594	21.611319	22.534227
21.451513	21.440529	21.245964	22.748247
25.187258	25.474249	25.541111	25.00639
22.389517	22.968914	22.579725	24.908283
20.88231	20.96434	20.57094	22.464378
23.906252	24.527927	24.421484	24.94145
21.845211	22.475779	22.453102	24.146439
24.259388	24.459198	24.60787	24.919785
22.440525	23.014688	22.779675	23.551662
20.816517	20.83867	20.822393	21.757593
24.842026	25.188543	24.885014	27.803102
23.48927	23.86983	23.942726	24.63742
19.573387	19.56849	19.172277	20.547512
20.773024	21.16849	21.127668	21.448635
21.382307	22.22534	22.200024	22.00007
21.549543	22.38661	22.282162	22.62351
21.984348	22.74282	22.385212	22.97544
21.825506	22.014084	21.848919	22.943373
26.133158	27.150608	26.835602	28.542692
24.568548	24.825115	24.504488	29.756536
32.654392	34.40677	33.366985	36.635242
23.516525	24.26268	24.380157	23.511627
25.138302	24.987818	25.425827	25.775782
23.86406	23.98886	24.274137	23.73317
22.593441	22.747238	22.68186	23.491701
25.357607	26.805204	26.877539	29.73631
25.320513	25.906937	25.675842	26.430634
18.54999	20.92852	21.62317	25.952988
23.267138	23.830048	23.72593	23.232346
22.984419	22.942415	22.873665	22.625624
21.492699	23.576107	23.57542	27.484333
22.404434	22.535208	22.687618	23.336754
13.308784	14.000535	13.915671	16.186378
17.809767	18.395412	18.481354	19.91994
20.420692	20.802095	20.66539	22.867188
21.744766	22.521034	22.198305	22.968216
24.897049	25.559984	25.151617	24.155388
21.24951	21.550274	21.56563	21.580471
23.62941	24.59311	23.764616	28.554005
18.825396	19.943913	20.255854	22.749668
29.530546	31.497025	30.796785	31.813414
27.999683	28.634027	28.753912	32.538876
21.7572	21.892569	21.586767	22.152151
23.387465	21.957249	21.77323	22.792845
20.81163	20.570845	20.914438	21.55402
24.593283	25.257793	25.558325	25.43725
27.668581	27.702126	27.44486	27.147013
30.196054	29.41011	30.624489	29.565924
25.00247	25.681103	25.998451	26.458017
25.339552	26.353077	25.843897	25.532188
24.208683	24.43504	24.434923	24.902222
24.998604	25.855328	25.67294	24.82906
21.568163	21.888857	22.023607	21.405954
28.320597	27.794672	28.331491	27.611174
23.568836	23.77449	24.13947	24.131598
25.279484	26.292046	25.76917	25.92674
22.305006	23.329102	22.889103	23.628971
22.89544	23.792404	23.62269	23.345406
21.963396	22.742664	22.351662	20.854855
26.328377	26.63737	26.001734	27.9352
26.80331	26.3977	26.502523	24.99083
28.556717	28.677921	28.289404	26.979452
17.925854	18.7505	18.66851	20.762423
26.670263	26.816671	27.417967	31.924559
24.280506	24.816572	24.41541	23.292305
23.86448	24.192886	23.851967	23.696424
24.161057	24.483269	24.265594	24.547058
23.885336	23.791056	23.638216	23.435644
24.915888	25.25463	25.52867	25.69803
20.622929	20.909088	20.911758	22.718576
28.730831	28.193203	28.733936	29.879786
31.203661	32.196266	33.696613	31.609081
34.965572	36.541958	35.133373	33.35078
29.464901	30.312643	30.506691	29.130306
30.921429	32.125168	34.12927	31.660429
24.232208	24.707188	24.957119	24.700155
31.761164	34.816936	36.35879	34.28413
22.673267	22.905731	22.903484	21.48265
33.18279	36.053226	33.23729	32.24239
33.98093	39.832787	34.746914	33.80654
32.054165	33.091263	34.985527	31.772583
19.743748	20.163115	19.933659	19.615309
19.817902	20.173763	22.198202	21.251074
22.610197	23.130754	22.828522	23.184849
26.133392	25.90919	25.798613	24.640228
26.281397	26.199299	25.964006	24.541756
32.034546	33.87591	31.728315	34.66783
23.228516	23.48927	23.299955	22.432783
22.1427	22.360825	21.93342	22.366638
23.539942	23.839949	23.709402	23.528658
19.553703	19.982357	19.711914	19.643295
23.270561	22.834944	22.310781	23.741861
30.108984	31.55003	31.855371	31.634083
23.798038	23.973015	24.339636	25.438818
22.9952	23.42319	23.496168	24.67638
23.620935	24.1079	23.748568	23.227255
32.56624	NA	NA	36.828278
23.171856	23.580366	23.412973	23.242855
21.420198	21.818275	21.878029	21.9278
22.38078	22.839537	22.653542	23.325077
28.733515	29.920082	29.471018	28.487543
22.538357	23.460482	23.855433	23.727655
24.842588	25.395014	25.489704	24.824348
27.513231	30.42707	28.306564	31.166784
28.659704	31.769764	32.677822	33.020084
23.641241	22.926085	22.916523	30.562534
21.882597	22.244041	22.279413	27.949297
19.832233	20.453876	20.53396	26.594896
26.457674	27.194641	27.263016	28.196634
21.93817	24.35438	23.27331	30.363323
19.76513	17.795967	18.923204	27.56125
22.83696	25.296705	25.668245	31.987375
23.584826	24.188185	23.707472	24.119236
23.770077	23.621544	23.588482	23.436705
20.670479	21.416126	21.03106	21.814917
24.401224	24.665976	24.96172	24.303673
22.674768	23.140825	23.141672	23.19879
20.592323	21.207785	21.296873	21.986073
23.094208	23.703047	23.6489	23.791246
20.96336	21.384926	21.118662	21.393793
22.610022	22.989447	22.835104	23.477264
21.18406	21.729548	21.602722	20.98727
22.199982	22.3937	22.87914	22.656298
22.93916	22.927608	22.992119	23.675766
22.988834	23.939072	24.588133	23.480597
23.193308	23.354233	23.40206	23.177322
22.30375	23.200754	23.580177	23.414814
23.730734	23.94296	24.373077	24.499542
28.336563	28.563383	28.530153	28.554829
27.968393	27.731327	28.175108	29.641861
30.144255	30.76811	30.607178	30.715996
28.430885	28.88542	29.253561	28.021814
30.747404	30.168596	31.192944	30.353437
20.443808	20.891788	20.622164	21.661621
23.127068	23.490038	23.309631	23.998247
24.282919	24.80351	24.679241	24.570297
20.741581	21.404743	21.184315	23.555288
24.554222	25.329636	25.252914	24.26662
22.96479	23.589783	22.889103	22.36012
17.49805	17.75763	17.591053	17.910376
26.743721	25.541689	25.727669	25.62042
18.494968	18.981354	19.493034	20.409485
30.167032	30.591156	31.19632	30.830921
24.35665	24.782518	25.384869	24.732468
25.639345	26.219305	26.307049	27.244946
24.494726	25.414087	25.579363	24.972143
23.480383	23.918282	23.874907	23.652515
25.67893	26.002048	26.1705	25.91057
31.557749	31.707588	33.189316	31.398724
21.978449	22.500837	22.49055	22.226067
24.697876	25.419987	25.549093	25.484072
21.33573	21.934603	21.554138	21.453787
30.477978	31.639042	31.93182	30.473125
20.349018	20.925293	21.162174	23.677204
18.288382	18.888649	18.299139	25.352612
24.140152	24.633085	24.63448	24.383438
22.761454	22.791952	22.607973	20.878105
32.436203	30.87374	32.777225	32.441303
20.517796	21.708643	21.720827	23.196098
25.165619	25.583542	25.745813	26.720533
21.21779	21.792862	21.61485	21.541563
28.419353	28.52848	28.313835	29.465094
21.374304	21.765223	21.431913	22.214483
23.80673	23.952541	24.445026	25.514065
22.245283	24.381937	24.40443	26.407377
33.53264	36.279243	NA	36.475636
24.832596	25.65814	25.445341	25.849215
24.646732	26.157114	25.818077	24.522955
25.60103	26.124	25.920218	23.71276
24.853767	25.451937	25.509048	26.243927
22.780226	24.56429	24.148548	28.245676
23.206154	23.914255	23.935001	27.247763
20.150465	20.859728	20.609638	19.948807
22.746914	22.409077	22.806067	22.931131
20.919321	21.17367	21.331564	21.420908
18.936966	19.412075	19.289228	19.65556
37.900948	39.18227	NA	35.78514
NA	36.187386	34.250095	36.164295
32.83628	35.553303	39.436848	34.227047
24.800396	24.957697	24.902103	25.434301
