"NC"	"Aflatoxin.B1"	"Cadmium.chloride"
23.477674	24.591562	24.243307
22.976624	23.438025	23.339802
25.12959	25.645145	25.347792
25.221136	24.884218	24.582968
21.83727	21.993399	21.890112
22.32298	22.26395	22.173721
25.52764	25.464432	25.443977
23.405453	24.256481	23.834253
21.684614	22.24642	22.223196
24.38892	24.52765	24.18468
22.618895	23.286472	23.11719
24.926657	24.658632	24.756182
22.812689	23.543558	23.275494
21.38156	21.65713	21.635471
25.547276	26.01422	25.599884
23.821136	24.313446	24.191692
20.634401	20.424675	20.513023
21.666304	21.844831	21.991957
21.974306	22.338224	22.264416
22.520527	22.631067	22.371723
23.013025	23.254448	23.099049
22.495329	22.724321	22.570705
27.16606	27.829542	27.36858
26.08531	27.424282	26.404694
31.892138	34.977573	32.21432
24.129559	23.5287	23.809341
25.434486	25.566025	25.407497
24.270761	23.807816	24.290121
23.422556	23.252476	23.491264
26.197514	26.951284	26.634449
26.34373	26.231804	26.23732
19.749033	22.109972	20.254227
23.632421	23.49686	23.59637
23.116674	22.919678	22.91722
23.959597	24.971216	24.162718
22.89804	22.76576	22.824951
14.309556	14.5599375	14.636618
18.782722	19.30834	19.101664
21.152407	21.557253	21.630564
22.486437	22.61941	22.50372
25.749462	24.383703	25.31179
22.106026	21.820318	21.63499
24.756302	25.519419	24.833326
19.997417	20.46813	20.010641
30.101593	30.465235	30.238583
28.774551	29.32962	29.115284
22.435802	22.521898	22.58505
22.854126	23.135122	22.7388
21.450127	21.509892	21.182507
25.383352	25.255215	25.21535
27.465212	27.34112	27.177065
29.933622	30.177084	29.729792
27.616177	26.19892	25.577122
26.01951	25.766443	25.988052
24.95381	24.730413	24.63854
25.975567	25.16832	25.733932
22.380775	21.56485	21.771425
28.531929	27.773945	28.203014
24.608072	23.667816	23.943888
25.97197	25.86749	25.777817
23.43733	23.656376	23.572031
23.731142	22.832067	23.485945
22.381052	21.624565	21.831371
27.551805	27.446344	26.883472
27.286518	25.468344	26.362757
28.687523	26.783361	27.654991
18.939955	19.215363	18.995667
27.567648	28.544216	28.288288
24.982346	24.122267	24.636066
25.363895	25.106783	25.487553
25.150196	24.658192	25.167843
24.54952	24.338985	24.328705
25.807755	25.5434	25.777744
21.441486	21.911907	21.763529
29.570433	28.999239	29.127775
30.183556	29.77241	29.674915
34.665	33.96317	34.62302
30.606762	29.122993	29.922598
30.475021	30.21549	29.597622
25.27075	24.796413	24.92006
