Refseq;PFOS_Fold_Regulation;PFOS_pvalue;PFOA_Fold_Regulation;PFOA_pvalue;Aflatoxin B1_Fold_Regulation;Aflatoxin B1_pvalue;Cadmium chloride_Fold_Regulation;Cadmium chloride_pvalue;Lasiocarpine_Fold_Regulation;Lasiocarpine_pvalue
NM_005763;-1.77;0.006574;-2.17;0.003439;-2.33;0.001242;-1.94;0.01463;-3.97;0.000258
NM_000927;1.24;0.162789;-1.28;0.182298;-1.49;0.063169;-1.2;0.450715;-3.14;0.000407
NM_000443;1.31;0.22556;1.27;0.426122;-1.81;0.140976;-1.38;0.506105;-6.8;0.005565
NM_004996;-1.51;0.055493;-1.6;0.132194;-1.17;0.113297;-1.04;0.83348;-1.5;0.007012
NM_000392;1.08;0.527708;-1.25;0.300058;-2.1;0.029368;-1.29;0.038686;-2.57;0.000596
NM_003786;1.05;0.821119;1.11;0.626669;-1.27;0.346457;-1.41;0.114239;-4.01;0.004889
NM_005157;-1;0.939483;-1.23;0.12088;-1.06;0.745274;-1.26;0.157448;-1.05;0.494454
NM_001607;1.07;0.821624;1.21;0.395046;-1.98;0.067213;-1.88;0.052373;-8.46;0.00425
NM_006111;1.46;0.055252;1.6;0.048248;-1.46;0.164684;-1.73;0.034925;-3.7;0.004013
NM_198834;-1.43;0.017371;-1.48;0.049166;-1.45;0.00304;-1.29;0.125212;-2.36;0.000206
NM_032169;-1.23;0.178328;-1.31;0.278212;-1.78;0.02918;-1.8;0.031304;-6.1;0.000585
NM_014049;-1.03;0.809614;-1.24;0.19977;-1.04;0.852743;-1.23;0.109488;-1.93;0.003206
NM_001608;-1.29;0.034505;-1.22;0.149698;-1.65;0.009819;-1.77;0.010081;-3.21;0.000265
NM_000016;1.21;0.179224;1.16;0.402558;-1.43;0.067522;-1.42;0.066166;-2.24;0.001309
NM_000017;1.14;0.529329;1.16;0.497854;-1.38;0.293853;-1.37;0.148419;-12.52;0.002458
NM_001609;-1.23;0.294955;-1.42;0.121566;-1.57;0.09397;-1.63;0.105391;-3.71;0.005444
NM_000018;1.29;0.234057;1.6;0.045297;-1.08;0.858503;-1.41;0.157386;-2.49;0.020817
NM_000019;-1.07;0.673317;-1.06;0.75145;-1.4;0.166949;-1.66;0.049083;-1.99;0.016482
NM_005891;-1.67;0.047656;-1.57;0.070541;-1.53;0.103478;-1.49;0.087302;-2.04;0.016939
NM_001096;-1.4;0.135779;-1.34;0.148782;-1.35;0.285374;-1.37;0.129407;-2.24;0.015193
NM_002197;-1.18;0.419673;-1.11;0.636615;-1.52;0.179955;-1.55;0.137549;-2.25;0.048304
NM_001098;-1;0.966037;-1.1;0.599087;-1.28;0.337554;-1.4;0.039845;-3.14;0.001411
NM_001037161;-1.53;0.15954;-1.26;0.360393;-1.75;0.202524;-1.65;0.171502;-7.24;0.012575
NM_130767;-1.06;0.714301;1.25;0.606993;-2.97;0.081961;-2.25;0.117153;-46.84;0.018066
NM_001037162;-1.99;0.223527;-3.1;0.126497;-2.79;0.142803;-1.9;0.387411;-3.7;0.1722
NM_181866;-1.13;0.419872;-1.48;0.136867;1.1;0.585892;1.14;0.439103;1.28;0.17621
NM_005469;-1.03;0.979754;-1.24;0.06847;-1.16;0.330516;-1.11;0.302526;-2.11;0.00125
NM_001033583;-1.02;0.944844;-1.23;0.13095;1.15;0.184985;-1.17;0.140631;-1.08;0.387537
NM_004035;1.15;0.162239;1.11;0.448118;-1.14;0.306189;-1.37;0.101543;-2.28;0.000099
NM_003500;-1.32;0.196742;-1.54;0.423661;-2.16;0.149318;-1.86;0.091913;-11.09;0.002918
NM_003501;-1.17;0.352701;-1.14;0.482036;-1.11;0.772939;-1.4;0.111136;-2.54;0.008652
NM_000669;-2.63;0.012286;-4.12;0.064108;-5.19;0.042123;-2.22;0.410126;-199.2;0.001207
NM_001123;-1.06;0.665074;-1.71;0.109492;-1.09;0.496046;-1.24;0.031394;-1.1;0.183235
NM_001621;-1.08;0.719282;-1.16;0.436166;1.07;0.598366;-1.2;0.291502;-1.05;0.606718
NM_001622;-1.84;0.174715;-1.68;0.228166;-2.67;0.113685;-2.09;0.153271;-41.64;0.025229
NM_005163;1.02;0.80414;-1.17;0.112226;-1.04;0.892158;-1.22;0.035717;-2.39;0.000126
NM_000477;-1.27;0.229275;-1.34;0.254726;-1.54;0.153858;-1.79;0.119358;-9.12;0.002124
NM_000689;-1.18;0.229636;-1.47;0.091265;-1.68;0.046746;-1.67;0.02873;-5.1;0.00023
NM_000690;-1.02;0.894401;-1.1;0.779109;-1.66;0.045207;-1.92;0.007493;-6.83;0.000098
NM_001144;-1.1;0.454284;-1.16;0.372155;-1.23;0.300661;-1.36;0.066793;-2.66;0.002638
NM_001160;1.05;0.879756;1;0.904491;1.82;0.059049;-1.06;0.766059;1.74;0.01157
NM_080649;1;0.989588;-1.17;0.466261;-1.15;0.296025;-1.06;0.564057;-1.33;0.07656
NM_052968;-1.29;0.215436;1.41;0.298602;-2.43;0.018235;-1.5;0.322229;-26.75;0.001061
NM_000041;-1.09;0.717413;-1.47;0.288971;-2.05;0.118699;-1.31;0.342541;-14.06;0.006936
NM_001638;-1.62;0.105061;-1.42;0.436345;-1.92;0.074527;-1.72;0.100231;-5.27;0.002534
NM_001650;-1.17;0.403189;-1.15;0.593176;-1.39;0.273586;-1.74;0.053404;-6.98;0.005556
NM_004315;-1.09;0.598452;1.01;0.900287;-1.27;0.211331;-1.56;0.016518;-1.96;0.005453
NM_183356;1.9;0.038031;1.31;0.433454;-1.18;0.483747;1.27;0.369739;-1.43;0.207736
NM_001675;1.61;0.005771;1.04;0.713165;-1.41;0.04735;1.06;0.613943;-1.76;0.006096
NM_007348;1.04;0.910145;-1.23;0.51763;-1.29;0.480201;1.1;0.976184;-1.05;0.669284
NM_000051;-1.13;0.627653;-1.2;0.617438;-1;0.873047;-1.06;0.895443;1.04;0.990664
NM_130463;1.04;0.762962;-1.09;0.781517;-1.29;0.312791;1.15;0.566894;-1.26;0.396645
NM_005603;1.25;0.702192;1.02;0.857942;1.06;0.892791;1.28;0.661165;-1.65;0.190571
NM_001184;-1.04;0.682489;-1.19;0.495736;1.11;0.771388;-1.15;0.531645;1.1;0.822251
NM_004322;-1.01;0.960481;-1.07;0.440493;-1.06;0.94692;-1.25;0.057265;-2.29;0.001589
NM_001188;-1.11;0.413428;-1.17;0.3058;1.31;0.254477;-1.09;0.619485;1.17;0.288403
NM_004324;1.01;0.901255;-1.39;0.174302;1.37;0.132647;-1;0.966713;1.11;0.295654
NM_000633;1.42;0.059715;-1.08;0.460839;1.58;0.159327;1.09;0.534912;1.24;0.026089
NM_138578;1.24;0.155553;-1.25;0.207691;1.38;0.183652;1.04;0.755052;-1.41;0.041131
NM_006538;-1.22;0.089898;-1.21;0.309856;-1.22;0.1532;-1.24;0.098389;-1.72;0.004333
NM_020139;-1.89;0.063125;-1.28;0.271104;-1.69;0.074303;-1.87;0.045909;-3.26;0.008207
NM_001196;-1.22;0.05621;-1.63;0.300765;1.16;0.235958;-1.13;0.174018;-1.18;0.118888
