"NC"	"PFOS"	"PFOA"	"Aflatoxin.B1"	"Cadmium.chloride"	"Lasiocarpine"
NA	NA	34.498554	NA	34.578842	39.34825
23.558043	24.243443	24.43973	24.103493	23.728897	23.825905
22.19643	21.800632	22.928991	22.524675	22.269527	22.389109
28.956554	28.698095	28.854948	27.753233	26.772213	28.521465
18.14101	18.769186	18.38555	19.758368	18.94276	18.5629
27.125177	23.948341	23.464867	25.545393	27.537031	27.488134
17.90453	17.850222	18.064987	17.420242	17.485071	18.468792
24.288406	23.960192	23.504772	20.183704	22.353642	23.2349
29.934628	29.73613	30.24174	28.739765	28.013826	28.834278
20.972895	21.892462	22.116709	20.994656	21.18309	21.64929
22.495665	22.252167	22.473635	22.593494	22.383036	22.770119
26.443665	26.643545	26.406027	22.394646	26.235792	26.470682
31.842945	31.792498	32.891727	32.00209	31.813065	33.738155
19.257843	19.25195	19.188694	20.22702	20.496487	19.671873
30.865602	30.89896	34.931213	26.124876	30.529352	30.399157
20.785887	19.943676	20.232983	18.684435	19.25539	20.618212
19.35015	19.254614	19.363205	18.558119	19.383072	19.539711
22.415611	22.476257	22.717382	21.342327	22.283945	22.338089
19.117262	19.478317	19.27682	19.807213	19.395617	19.437536
18.8261	18.238699	18.858343	18.097803	18.239555	18.918936
19.567152	19.61114	19.444384	15.979909	18.013992	19.75673
21.549053	22.706001	21.114979	22.338966	22.599796	22.435705
19.914726	20.329428	19.756617	20.932207	21.866697	20.349
18.91351	19.232828	19.251188	18.318745	19.159037	19.484192
19.595737	19.689318	20.566628	18.945131	19.387194	19.913946
16.288616	15.050914	17.327288	14.840637	15.594761	15.381952
30.451656	30.828846	37.561974	26.629892	29.338232	28.778076
31.689302	31.267586	31.309883	32.587303	31.748674	31.430779
25.38484	25.954817	25.51544	25.456297	24.502787	25.338993
17.270472	17.53383	17.348759	16.780525	16.795856	17.379549
28.347088	27.510859	27.782282	26.853207	27.794653	27.945892
33.247585	34.094116	NA	29.132463	34.252625	32.01948
33.964428	38.611298	39.703506	35.081852	37.657692	34.74531
18.344227	19.42501	19.47496	19.339222	18.173206	19.005001
34.551716	35.36389	35.94229	33.998497	35.662865	34.669277
22.15155	21.943283	21.475306	21.767624	21.127	22.371784
23.695675	23.651535	22.50333	20.543814	21.724165	23.498121
22.591806	23.370888	22.80217	22.234495	22.829638	23.107538
27.263103	26.836893	27.259079	26.669313	26.597357	26.933784
37.922714	37.089176	37.37205	37.94987	32.375973	36.440502
NA	38.23403	NA	NA	NA	38.59712
22.393164	22.759012	22.575659	21.625217	22.37355	22.746754
20.393717	21.41168	20.009117	20.709438	20.540476	20.922684
29.595682	30.336506	29.262493	27.336264	28.830965	28.99266
20.794714	20.88843	20.998224	21.59034	20.834995	20.832464
20.028793	20.40638	20.032345	20.164001	20.223686	20.461327
16.301023	16.363207	16.168968	15.827666	16.244488	16.494333
23.725718	23.131546	24.637802	24.882381	23.882227	23.788708
23.766954	22.657	23.384373	22.561737	19.895737	23.485626
22.45374	22.359856	22.80846	21.499613	22.101795	22.696905
17.606117	17.35872	17.708246	17.105206	17.22234	17.751617
19.886597	20.117233	19.87019	20.890985	20.15853	20.233995
24.956287	24.28679	23.309093	23.39288	23.008926	24.298414
18.91043	18.16772	19.337746	18.721031	18.776934	19.118824
22.762054	22.899187	23.103024	22.715117	22.896364	23.260765
33.532658	31.883957	32.9774	33.456654	32.20541	34.50963
14.67456	14.980881	15.508264	14.864581	14.7010765	15.166069
18.485847	18.225143	18.030718	17.806767	18.278801	18.625391
21.107267	20.797314	21.648808	22.413795	20.442524	21.166544
35.589817	35.91411	NA	NA	33.60173	NA
24.892874	23.914951	25.505116	24.42427	21.493248	24.816029
32.597027	NA	32.521515	39.950893	NA	33.28287
33.477882	34.409046	34.15376	31.527048	32.855713	31.958004
20.455984	20.017143	20.23288	19.724903	18.98185	20.421938
19.989616	19.8368	20.400064	19.626106	20.193478	20.326254
20.518147	19.845243	20.176905	18.736334	19.192274	20.375044
33.506176	31.206995	34.31994	33.1401	31.332907	34.417797
16.672096	16.304068	16.800772	16.354317	16.485798	16.828856
18.31361	17.289856	17.974554	19.34025	18.344717	18.617819
29.219254	29.939985	29.185452	27.97014	28.361061	29.145504
22.267168	22.538353	22.503866	21.80208	21.886246	22.631174
39.027637	NA	NA	NA	NA	36.945576
21.883978	21.610876	21.948002	21.231918	21.950151	22.166788
16.250086	15.922029	17.512573	15.82663	16.162033	16.305302
18.244965	18.203192	18.593304	17.772318	18.19652	18.575535
15.501485	15.1176	15.251225	15.680952	14.989797	15.689057
NA	NA	NA	NA	NA	NA
21.334406	21.357641	21.670639	20.547026	21.28739	21.727758
14.93335	14.964951	15.271385	15.106974	15.096343	15.298836
19.999594	20.13897	20.348103	19.292698	19.715748	20.391747
18.31507	18.305588	18.3645	17.755213	17.398958	18.404757
31.336	30.717934	30.375565	31.451483	30.350786	30.273247
33.856873	32.60257	33.58757	NA	34.579357	34.077026
16.276817	15.869329	16.462812	16.661137	16.351583	16.45873
14.492679	14.4643545	14.803486	14.67768	14.492257	14.7344055
15.489896	15.720165	15.7573	15.289415	15.714231	15.714429
15.64	15.160615	15.82265	15.834153	15.558995	15.94261
21.844288	21.454847	22.228876	22.33972	21.75962	22.27227
