© 2000-2024 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Liver Cholestasis	Progressive familial intrahepatic cholestasis type 1	4,36E-11	ABCC2,ADH1C,CYP7A1,GPX2,MTTP,NR0B2,SCD	7
Liver Inflammation/Hepatitis	Inflammation of liver	1,51E-10	ABCC2,CYP2C19,CYP2E1,CYP3A4,CYP7A1,FASN,GPT,IL1A,NR0B2,POR,PPARA	11
Liver Steatosis	Hepatic steatosis	5,60E-09	ACADL,CD44,CYP2C19,CYP2E1,CYP7A1,FASN,GPT,NR0B2,PPARA	9
Liver Steatosis	Nonalcoholic fatty liver disease	3,28E-08	ACADL,CYP2C19,CYP2E1,CYP7A1,FASN,GPT,NR0B2,PPARA	8
Liver Inflammation/Hepatitis,Liver Steatosis	Nonalcoholic steatohepatitis	5,39E-07	CYP2C19,CYP2E1,CYP7A1,GPT,NR0B2	5
Liver Damage	Liver Damage	1,77E-05	ABCC2,ALDH1A1,TNFSF10	3
Liver Cholestasis	Progressive familial intrahepatic cholestasis type 2	9,25E-05	CYP7A1,NR0B2	2
Liver Cirrhosis,Liver Fibrosis	Primary biliary cirrhosis	1,12E-04	IL1A,MTTP,PPARA,TNFSF10	4
Liver Inflammation/Hepatitis	Infection by Hepatitis C virus	1,88E-04	ABCC2,CYP3A4,POR,PPARA	4
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatocellular carcinoma	2,18E-04	ABCC2,ACADL,ADH1C,ALDH2,APOA5,CD44,CYP2C19,CYP2E1,CYP3A4,FASN,GPX2,OGG1,POR,SCD,STBD1	15
Cardiac Infarction	Myocardial infarction	3,34E-04	CD36,CYP2C19,IL1A,PPARA,WIPI1	5
Liver Necrosis/Cell Death	Apoptosis of liver cell lines	4,57E-04	FAS,TNFSF10	2
Liver Damage	Hepatotoxicity	5,22E-04	ABCC2,ALDH1A1	2
Liver Necrosis/Cell Death	Apoptosis of hepatocytes	7,41E-04	FAS,TNFSF10	2
Liver Hyperplasia/Hyperproliferation	Hepatoblastoma	1,06E-03	BRCA2,FAS,POR	3
Renal Necrosis/Cell Death	Cell death of kidney cell lines	1,30E-03	CD44,CRYAB,FAS,SDHC,TNFSF10	5
Cardiac Infarction	Nonfatal myocardial infarction	1,39E-03	CYP2C19,PPARA	2
Renal Necrosis/Cell Death	Survival of mesangial cells	2,13E-03	FAS	1
Renal Damage,Renal Tubule Injury	Injury of tubulointerstitium	2,13E-03	FABP1	1
Hepatocellular Peroxisome Proliferation	Proliferation of peroxisomes in liver	2,13E-03	PPARA	1
Cardiac Dilation,Cardiac Enlargement	Dilated cardiomyopathy type 1II	2,13E-03	CRYAB	1
Liver Cholestasis	Obstructive cholestasis	2,13E-03	ABCC2	1
Renal Necrosis/Cell Death	Apoptosis of kidney cell lines	2,82E-03	CD44,FAS,SDHC,TNFSF10	4
Liver Hyperplasia/Hyperproliferation	Primary liver cancer	3,12E-03	FASN,POR	2
Liver Necrosis/Cell Death	Quantity of apoptotic hepatocytes	4,25E-03	TNFSF10	1
Liver Hyperbilirubinemia	Dubin-Johnson syndrome	4,25E-03	ABCC2	1
Congenital Heart Anomaly	Multisystemic smooth muscle dysfunction syndrome	4,25E-03	FAS	1
Liver Hyperplasia/Hyperproliferation	Liver metastasis	4,32E-03	CD44,POR	2
