© 2000-2024 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Liver Hyperplasia/Hyperproliferation	Liver cancer	8,00E-07	AASS,ACAA2,ACADL,ACAT1,ALDH1A1,ALDH2,ASAH1,BDH2,BRCA1,CYP2C19,CYP2C9,CYP2D6,CYP7B1,DECR1,FABP1,FH,FMO2,HADHB,HSPA5,LIG4,MAOB,SELENOS,SYCP2,TPO,UBXN4,XPA	26
Liver Hyperplasia/Hyperproliferation	Liver tumor	2,71E-06	AASS,ACAA2,ACADL,ACAT1,ALDH1A1,ALDH2,ASAH1,BDH2,BRCA1,CYP2C19,CYP2C9,CYP2D6,CYP7B1,DECR1,FABP1,FH,FMO2,FMO3,HADHB,HSPA5,LIG4,MAOB,SELENOS,SYCP2,TPO,UBXN4,XPA	27
Liver Hyperplasia/Hyperproliferation	Liver carcinoma	2,81E-06	AASS,ACAA2,ACADL,ACAT1,ALDH2,ASAH1,BDH2,BRCA1,CYP2C19,CYP2C9,CYP2D6,CYP7B1,DECR1,FABP1,FH,FMO2,HADHB,HSPA5,LIG4,MAOB,SELENOS,SYCP2,TPO,UBXN4,XPA	25
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatocellular carcinoma	4,05E-04	ACAA2,ACADL,ACAT1,ALDH2,CYP2C19,CYP2C9,CYP7B1,FH,HADHB,HSPA5,MAOB,TPO	12
Renal Damage,Renal Tubule Injury	Injury of tubulointerstitium	1,57E-03	FABP1	1
Liver Cholestasis	Advanced stage intrahepatic cholestasis	1,57E-03	CYP7B1	1
Cardiac Arrythmia	Ventricular fibrillation	3,76E-03	CYP2D6,MAOB	2
Cardiac Arteriopathy	Susceptibility to coronary artery disease	4,71E-03	PON1	1
Kidney Failure	Failure of kidney	5,06E-03	CD86,CYP2D6,FABP1	3
Cardiac Arrythmia,Tachycardia	Ventricular tachycardia	5,43E-03	CYP2D6,MAOB	2
Cardiac Arrythmia	Atrial fibrillation	5,52E-03	ALDH1A1,CYP2D6,MAOB	3
Liver Steatosis	Nonalcoholic fatty liver disease	5,99E-03	ACADL,CYP2C19,HSPA5	3
Liver Inflammation/Hepatitis,Liver Steatosis	Nonalcoholic steatohepatitis	6,20E-03	CYP2C19,HSPA5	2
Kidney Failure,Renal Damage	Ischemic acute renal failure	6,28E-03	FABP1	1
Liver Inflammation/Hepatitis	Chronic hepatitis C	8,08E-03	CYP2C9,HSPA5	2
Liver Cirrhosis,Liver Fibrosis	Cirrhosis of liver	8,58E-03	CD86,CYP7B1,MTTP	3
Cardiac Infarction	Myocardial infarction	9,95E-03	CYP2C19,CYP2C9,PON1	3
Cardiac Arteriopathy	Coronary artery disease	1,24E-02	CYP2C19,CYP2C9,PON1	3
Liver Cirrhosis,Liver Fibrosis	Early stage primary biliary cirrhosis	1,41E-02	MTTP	1
Liver Cirrhosis,Liver Fibrosis	Primary biliary cirrhosis	1,46E-02	CD86,MTTP	2
Kidney Failure	End stage renal disease	1,50E-02	CD86,CYP2D6	2
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatitis B virus-related hepatocellular carcinoma	1,55E-02	CYP7B1,HSPA5	2
Liver Inflammation/Hepatitis	Inflammation of liver	1,78E-02	CYP2C19,CYP2C9,HSPA5	3
Liver Cholestasis	Intrahepatic cholestasis	2,18E-02	CYP7B1,MTTP	2
Liver Damage	Hepatotoxicity	2,49E-02	ALDH1A1	1
Renal Damage	Nephrotoxicity	2,80E-02	CD86	1
Cardiac Inflammation	Acute myocarditis	3,10E-02	CD86	1
Cardiac Arrythmia	Symptomatic stage atrial fibrillation	3,41E-02	CYP2D6	1
Cardiac Arrythmia,Tachycardia	Sustained ventricular tachycardia	3,41E-02	CYP2D6	1
Cardiac Arrythmia	Symptomatic stage atrial flutter	3,41E-02	CYP2D6	1
Cardiac Infarction	Nonfatal myocardial infarction	4,01E-02	CYP2C19	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Quantity of hepatocellular carcinoma	4,62E-02	FH	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatitis B surface antigen-negative hepatitis C virus negative hepatocellular carcinoma	4,77E-02	HSPA5	1
Cardiac Arrythmia,Tachycardia	Recurrent tachyarrhythmia	4,77E-02	CYP2D6	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatitis C virus-related hepatocellular carcinoma	4,92E-02	HSPA5	1
Cardiac Arrythmia	Severe ventricular arrhythmia	5,81E-02	CYP2D6	1
Renal Necrosis/Cell Death	Apoptosis of kidney cell lines	7,02E-02	BRCA1,HSPA5	2
Liver Cholestasis	Progressive familial intrahepatic cholestasis type 1	9,03E-02	MTTP	1
Liver Failure	Failure of liver	9,03E-02	CYP7B1	1
Liver Hyperplasia/Hyperproliferation	Hepatoblastoma	1,38E-01	FH	1
Liver Hyperplasia/Hyperproliferation	Liver cholangiocarcinoma	1,71E-01	BRCA1	1
Renal Necrosis/Cell Death	Cell viability of kidney cell lines	1,86E-01	BRCA1	1
Cardiac Infarction	Acute myocardial infarction	2,14E-01	PON1	1
Glomerular Injury,Renal Inflammation,Renal Nephritis	Lupus nephritis	2,94E-01	CD86	1
Cardiac Dysfunction	Calcification of aortic valve	3,98E-01	PON1	1
Heart Failure	Failure of heart	4,10E-01	HSPA5	1
