© 2000-2024 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Predicted Activation State	Activation z-score	Molecules	# Molecules
Liver Steatosis	Hepatic steatosis	7,77E-19	 	 	ACACA,ACADL,ACLY,ACOT1,ACOX1,ACOX2,CAT,CD44,CPT1A,CYP2C19,CYP2E1,CYP7A1,FASN,GPT,GPX4,HADHA,HSPA5,IL10,LPL,NR0B2,NR1H4,PNPLA3,PPARA,SREBF1,TNFRSF1A,XBP1	26
Liver Steatosis	Nonalcoholic fatty liver disease	3,39E-18	 	 	ACACA,ACADL,ACLY,ACOT1,ACOX1,ACOX2,CAT,CPT1A,CYP2C19,CYP2E1,CYP7A1,FASN,GPT,GPX4,HADHA,HSPA5,LPL,NR0B2,NR1H4,PNPLA3,PPARA,SREBF1,TNFRSF1A,XBP1	24
Liver Inflammation/Hepatitis	Inflammation of liver	3,49E-18	 	 	ABCB4,ABCC2,ACOT1,ALB,APOE,C3,CYP2C19,CYP2C9,CYP2E1,CYP3A4,CYP7A1,FASN,GPT,HSPA5,IL10,IL1A,IL1B,LPL,NR0B2,NR1H4,PNPLA3,POR,PPARA,PTPRC,SLC10A1,TNFRSF1A,UGT1A1,XBP1	28
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatocellular carcinoma	1,54E-16	 	 	ABCC2,ACAA1,ACAA2,ACACA,ACADL,ACADM,ACADS,ACADSB,ACADVL,ACAT1,ACLY,ACOT1,ACOX2,ADH1C,AKT1,ALB,ALDH2,APAF1,APOA5,APOF,BCL2L11,C9,CASP9,CAT,CD44,CES2,CHEK2,CTSB,CYP2B6,CYP2C19,CYP2C9,CYP2E1,CYP3A4,CYP7B1,ECHS1,EHHADH,F2,FASN,FH,HAAO,HADHA,HADHB,HSPA1A/HSPA1B,HSPA5,ICAM1,IDH1,IL10,INHBE,MAOB,MDM2,MKI67,NPLOC4,NQO1,NR1H4,OGDH,OGG1,POR,PRKDC,PTGS2,PVR,RAD51,S100A8,SCD,SERPINA3,SLC10A1,SREBF1,STBD1,TNFAIP8L1,UGT1A1	69
Liver Hyperplasia/Hyperproliferation	Liver cancer	1,52E-14	 	 	AASS,ABCB4,ABCC1,ABCC2,ABCC3,ACAA1,ACAA2,ACACA,ACAD9,ACADL,ACADM,ACADS,ACADSB,ACADVL,ACAT1,ACLY,ACO1,ACO2,ACOT1,ACOT8,ACOX1,ACOX2,ACOX3,ADH1C,AHSG,AKT1,ALB,ALDH1A1,ALDH2,AMFR,APAF1,APOA5,APOE,APOF,ASAH1,BCL2L11,BDH2,BRCA1,BRCA2,C3,C9,CASP9,CAT,CD44,CES2,CFLAR,CHEK2,CPT1B,CTSB,CYP2B6,CYP2C19,CYP2C9,CYP2D6,CYP2E1,CYP3A4,CYP7A1,CYP7B1,DECR1,DHCR24,DLAT,DNM1,ECHS1,EHHADH,ERCC2,F2,FABP1,FAS,FASN,FH,FMO2,FOXI1,GALNT5,GRB2,GSTA3,HAAO,HADHA,HADHB,HERPUD1,HOXA3,HPX,HSF1,HSPA1A/HSPA1B,HSPA5,HSPH1,ICAM1,IDH1,IL10,INHBE,LIG4,MAOB,MBTPS1,MCL1,MDM2,MKI67,MSH2,NPLOC4,NQO1,NR1H4,OGDH,OGG1,OS9,PCCA,POR,PRKDC,PTGS2,PTPRC,PVR,RAD51,S100A8,SCD,SDHA,SEL1L,SELENOS,SERPINA3,SLC10A1,SREBF1,STBD1,SYCP2,SYVN1,TNFAIP8L1,UBXN4,UGT1A1,UGT2B4	123
Liver Hyperplasia/Hyperproliferation	Liver carcinoma	5,23E-13	 	 	AASS,ABCB4,ABCC1,ABCC2,ABCC3,ACAA1,ACAA2,ACACA,ACAD9,ACADL,ACADM,ACADS,ACADSB,ACADVL,ACAT1,ACLY,ACO1,ACO2,ACOT1,ACOT8,ACOX1,ACOX2,ACOX3,ADH1C,AKT1,ALB,ALDH2,AMFR,APAF1,APOA5,APOE,APOF,ASAH1,BCL2L11,BDH2,BRCA1,BRCA2,C3,C9,CASP9,CAT,CD44,CES2,CFLAR,CHEK2,CPT1B,CTSB,CYP2B6,CYP2C19,CYP2C9,CYP2D6,CYP2E1,CYP3A4,CYP7A1,CYP7B1,DECR1,DHCR24,DLAT,DNM1,ECHS1,EHHADH,F2,FABP1,FASN,FH,FMO2,FOXI1,GALNT5,GRB2,GSTA3,HAAO,HADHA,HADHB,HERPUD1,HOXA3,HPX,HSF1,HSPA1A/HSPA1B,HSPA5,HSPH1,ICAM1,IDH1,IL10,INHBE,LIG4,MAOB,MBTPS1,MCL1,MDM2,MKI67,MSH2,NPLOC4,NQO1,NR1H4,OGDH,OGG1,OS9,PCCA,POR,PRKDC,PTGS2,PTPRC,PVR,RAD51,S100A8,SCD,SDHA,SEL1L,SELENOS,SERPINA3,SLC10A1,SREBF1,STBD1,SYCP2,SYVN1,TNFAIP8L1,UBXN4,UGT1A1	118
Renal Necrosis/Cell Death	Cell death of kidney cell lines	1,58E-12	 	0,444	ABCC1,AKT1,BAD,BCL2L11,BIRC3,BRCA1,CASP1,CASP9,CD44,CFLAR,DLST,F2,FAS,HSPA1A/HSPA1B,HSPA5,MCL1,PRKDC,RAD51,SDHC,SDHD,SYVN1,TNFRSF1A,TNFSF10	23
Renal Necrosis/Cell Death	Apoptosis of kidney cell lines	1,62E-12	 	-0,081	ABCC1,AKT1,BAD,BCL2L11,BIRC3,BRCA1,CASP1,CASP9,CD44,CFLAR,F2,FAS,HSPA1A/HSPA1B,HSPA5,MCL1,SDHC,SDHD,SYVN1,TNFRSF1A,TNFSF10	20
Liver Hyperplasia/Hyperproliferation	Liver tumor	1,77E-12	 	 	AASS,ABCB4,ABCC1,ABCC2,ABCC3,ACAA1,ACAA2,ACACA,ACAD9,ACADL,ACADM,ACADS,ACADSB,ACADVL,ACAT1,ACLY,ACO1,ACO2,ACOT1,ACOT8,ACOX1,ACOX2,ACOX3,ADH1C,AHSG,AKT1,ALB,ALDH1A1,ALDH2,AMFR,APAF1,APOA5,APOE,APOF,ASAH1,BCL2L11,BDH2,BRCA1,BRCA2,C3,C9,CASP9,CAT,CD44,CES2,CFLAR,CHEK2,CPT1B,CTSB,CTSE,CYP2B6,CYP2C19,CYP2C9,CYP2D6,CYP2E1,CYP3A4,CYP7A1,CYP7B1,DECR1,DHCR24,DLAT,DNM1,ECHS1,EHHADH,EPX,ERCC2,F2,FABP1,FAS,FASN,FH,FMO2,FMO3,FOXI1,GALNT5,GRB2,GSTA3,HAAO,HADHA,HADHB,HERPUD1,HOXA3,HPN,HPX,HSF1,HSPA1A/HSPA1B,HSPA5,HSPH1,ICAM1,IDH1,IL10,INHBE,LIG4,MACO1,MAOB,MBTPS1,MCL1,MDM2,MKI67,MSH2,NPLOC4,NQO1,NR1H4,OGDH,OGG1,OS9,PCCA,POR,PRKDC,PTGS2,PTPRC,PVR,RAD51,S100A8,SCD,SDHA,SEL1L,SELENOS,SERPINA3,SLC10A1,SREBF1,STBD1,SYCP2,SYVN1,TNFAIP8L1,UBXN4,UGT1A1,UGT2B4,XBP1	129
Liver Cholestasis	Progressive familial intrahepatic cholestasis type 1	7,88E-12	 	 	ABCB4,ABCC2,ADH1C,CYP7A1,HPX,MTTP,NR0B2,NR1H4,SCD,SLC10A1,SREBF1	11
