© 2000-2024 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Liver Inflammation/Hepatitis	HIV-HCV co-infection	7,08E-06	CYP3A4,UGT1A1	2
Liver Inflammation/Hepatitis	Inflammation of liver	3,72E-05	CYP2E1,CYP3A4,CYP7A1,POR,UGT1A1	5
Liver Cholestasis	Progressive familial intrahepatic cholestasis type 1	3,95E-05	ADH1C,CYP7A1,GPX2	3
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatocellular carcinoma	2,60E-04	ADH1C,CYP2B6,CYP2E1,CYP3A4,GPX2,POR,RAD51,S100A8,SERPINA3,UGT1A1	10
Liver Cirrhosis,Liver Fibrosis	Primary biliary cirrhosis	2,88E-04	CD80,SLC51B,TNFSF10	3
Liver Inflammation/Hepatitis	Infection by Hepatitis C virus	4,29E-04	CYP3A4,POR,UGT1A1	3
Liver Hyperbilirubinemia	Crigler-Najjar syndrome type 1	1,11E-03	UGT1A1	1
Liver Hyperbilirubinemia	Severe hyperbilirubinemia	1,11E-03	UGT1A1	1
Kidney Failure	Failure of kidney	1,85E-03	CD80,CYP2B6,SERPINA3	3
Liver Hyperbilirubinemia	Lucey-Driscoll syndrome	2,22E-03	UGT1A1	1
Liver Hyperbilirubinemia	Crigler-Najjar syndrome type 2	2,22E-03	UGT1A1	1
Liver Necrosis/Cell Death	Quantity of apoptotic hepatocytes	2,22E-03	TNFSF10	1
Liver Inflammation/Hepatitis,Liver Steatosis	Nonalcoholic steatohepatitis	3,12E-03	CYP2E1,CYP7A1	2
Glomerular Injury,Renal Inflammation,Renal Nephritis	Goodpasture syndrome	3,33E-03	ASNS	1
Glomerular Injury,Renal Inflammation,Renal Nephritis	Glomerulonephritis	4,08E-03	ASNS,CD80,CYP2B6	3
Liver Hyperplasia/Hyperproliferation	Inoperable liver metastasis	4,44E-03	POR	1
Liver Hyperbilirubinemia	Gilbert syndrome	4,44E-03	UGT1A1	1
Liver Hyperplasia/Hyperproliferation	Liver cancer	5,05E-03	AASS,ADH1C,BRCA1,CYP2B6,CYP2E1,CYP3A4,CYP7A1,FOXI1,GPX2,POR,RAD51,S100A8,SERPINA3,UGT1A1,UGT2B4	15
Liver Hyperplasia/Hyperproliferation	Liver tumor	6,90E-03	AASS,ADH1C,ASNS,BRCA1,CYP2B6,CYP2E1,CYP3A4,CYP7A1,FOXI1,GPX2,POR,RAD51,S100A8,SERPINA3,UGT1A1,UGT2B4	16
Kidney Failure	End stage renal disease	7,67E-03	CD80,CYP2B6	2
Liver Inflammation/Hepatitis	Chronic hepatitis C virus genotype 4	7,75E-03	POR	1
Liver Cholestasis	Progressive familial intrahepatic cholestasis type 2	7,75E-03	CYP7A1	1
Renal Necrosis/Cell Death	Cell death of kidney cell lines	8,54E-03	BRCA1,RAD51,TNFSF10	3
Liver Hyperplasia/Hyperproliferation	Liver carcinoma	1,23E-02	AASS,ADH1C,BRCA1,CYP2B6,CYP2E1,CYP3A4,CYP7A1,FOXI1,GPX2,POR,RAD51,S100A8,SERPINA3,UGT1A1	14
Liver Necrosis/Cell Death	Apoptosis of liver cell lines	1,65E-02	TNFSF10	1
Liver Hyperplasia/Hyperproliferation	Progressive liver metastasis	1,98E-02	POR	1
Renal Damage	Nephrotoxicity	1,98E-02	CD80	1
Liver Hyperplasia/Hyperproliferation	Ann Arbor stage I-IV hepatosplenic T-cell lymphoma	2,09E-02	POR	1
Kidney Failure	Acute renal allograft rejection	2,20E-02	SERPINA3	1
Cardiac Inflammation	Acute myocarditis	2,20E-02	CD80	1
Glomerular Injury,Renal Inflammation,Renal Nephritis	Lupus nephritis	2,46E-02	CD80,CYP2B6	2
Liver Hyperplasia/Hyperproliferation	Small cell undifferentiated hepatoblastoma	2,52E-02	POR	1
Liver Damage	Liver Damage	2,63E-02	TNFSF10	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Locally advanced hepatocellular carcinoma	2,74E-02	POR	1
Renal Necrosis/Cell Death	Apoptosis of kidney cell lines	3,75E-02	BRCA1,TNFSF10	2
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Metastatic hepatocellular carcinoma	3,92E-02	POR	1
Liver Hyperplasia/Hyperproliferation	Primary liver cancer	4,24E-02	POR	1
Glomerular Injury,Renal Inflammation,Renal Nephritis	Systemic lupus erythematosus nephritis	4,78E-02	CD80	1
Cardiac Damage	Cardiotoxicity	5,41E-02	POR	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Child-Pugh class A hepatocellular carcinoma	6,25E-02	POR	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Unresectable hepatocellular carcinoma	6,56E-02	POR	1
Renal Damage	Acute kidney injury	8,42E-02	SERPINA3	1
Liver Hyperplasia/Hyperproliferation	Liver cholangiocarcinoma	1,24E-01	BRCA1	1
Renal Necrosis/Cell Death	Cell viability of kidney cell lines	1,35E-01	BRCA1	1
Cardiac Arteriopathy	Coronary artery disease	2,92E-01	ACAT2	1
