© 2000-2024 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Molecules	# Molecules
Liver Hyperplasia/Hyperproliferation	Liver cancer	5,71E-09	AASS,ACAA2,ACADL,ACAT1,ALDH1A1,ALDH2,ASAH1,BDH2,BRCA1,CCND1,CDKN1A,CYP2C19,CYP2C9,CYP2D6,CYP7B1,DECR1,FABP1,FH,FMO2,HADHB,HMOX1,HSPA5,LIG4,MAOB,MT1A,NQO1,SELENOS,SYCP2,TPO,UBXN4,UCHL1,XPA	32
Liver Hyperplasia/Hyperproliferation	Liver tumor	3,53E-08	AASS,ACAA2,ACADL,ACAT1,ALDH1A1,ALDH2,ASAH1,BDH2,BRCA1,CCND1,CDKN1A,CYP2C19,CYP2C9,CYP2D6,CYP7B1,DECR1,FABP1,FH,FMO2,FMO3,HADHB,HMOX1,HSPA5,LIG4,MAOB,MT1A,NQO1,SELENOS,SYCP2,TPO,UBXN4,UCHL1,XPA	33
Liver Hyperplasia/Hyperproliferation	Liver carcinoma	1,33E-07	AASS,ACAA2,ACADL,ACAT1,ALDH2,ASAH1,BDH2,BRCA1,CCND1,CDKN1A,CYP2C19,CYP2C9,CYP2D6,CYP7B1,DECR1,FABP1,FH,FMO2,HADHB,HMOX1,HSPA5,LIG4,MAOB,MT1A,NQO1,SELENOS,SYCP2,TPO,UBXN4,XPA	30
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatocellular carcinoma	7,27E-06	ACAA2,ACADL,ACAT1,ALDH2,CCND1,CDKN1A,CYP2C19,CYP2C9,CYP7B1,FH,HADHB,HSPA5,MAOB,MT1A,NQO1,TPO	16
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Hepatitis B virus-related hepatocellular carcinoma	7,31E-05	CCND1,CDKN1A,CYP7B1,HSPA5	4
Kidney Failure	Failure of kidney	7,41E-04	CD86,CDKN1A,CYP2D6,FABP1	4
Cardiac Arrythmia	Atrial fibrillation	8,32E-04	ALDH1A1,CDKN1A,CYP2D6,MAOB	4
Liver Cirrhosis,Liver Fibrosis	Primary biliary cirrhosis	1,32E-03	CD86,MTTP,NQO1	3
Liver Cirrhosis,Liver Fibrosis	Cirrhosis of liver	1,51E-03	CD86,CYP7B1,MTTP,NQO1	4
Renal Damage,Renal Tubule Injury	Injury of tubulointerstitium	1,85E-03	FABP1	1
Liver Cholestasis	Advanced stage intrahepatic cholestasis	1,85E-03	CYP7B1	1
Kidney Failure	Chronic renal failure	2,89E-03	CD86,CDKN1A,CYP2D6	3
Cardiac Regeneration	Regeneration of cardiac muscle tissue	3,70E-03	CDKN1A	1
