sample_number;time_point;biol_rep;substance_number;substance;concentration_number;concentration_uM;p-elF4B;Ubiquitin k48;p-Histone H3;HSP70;p-RNA pol II;cleaved PARP;total LC3B;HIF 1-alpha
7;72h;1;7;PFOS;1;120;1036;293;84;174;2026;95;407;209.5
8;72h;1;8;PFOA;1;120;1168.5;248;77;136;2020;88;246.5;235
9;72h;1;9;Aflatoxin B1;1;0.75;1104;373.5;125;137;2707;159;406;273
11;72h;1;12;Lasiocarpine;1;30;1032;695;268;173;4994;625;575;353
12;72h;1;0;NC;1;0;945;227;74;95;1747;136;270;171
19;72h;1;7;PFOS;2;40;1125.5;280;82.5;132;2591;138;328.5;188
20;72h;1;8;PFOA;2;40;1125;234;76;105.5;2625.5;207;321;216.5
21;72h;1;9;Aflatoxin B1;2;0.25;971.5;325.5;89.5;121;2999;128.5;296;246
23;72h;1;12;Lasiocarpine;2;10;1034;302.5;166;122;2750;319.5;405.5;248.5
24;72h;1;0;NC;2;0;1086;281;83;139;1918;127.5;269;201
31;36h;1;7;PFOS;1;120;1016;178.5;89;138;1441;80.5;511;207.5
32;36h;1;8;PFOA;1;120;1144;194.5;114;164;2938;220;447;316
33;36h;1;9;Aflatoxin B1;1;0.75;1590;290.5;103;186;4189;304;912.5;444
34;36h;1;10;Cadmium chloride;1;7.5;1380;527.5;124;551;3098.5;354;1351;615
35;36h;1;12;Lasiocarpine;1;30;1185;322;101.5;146;2361;162;614.5;279.5
36;36h;1;0;NC;1;0;760.5;156;84.5;132;2194;65;351;201
43;36h;1;7;PFOS;2;40;875.5;179;97;116;1491;60;326;208.5
44;36h;1;8;PFOA;2;40;973;177;95;120.5;2031.5;87;391;231.5
45;36h;1;9;Aflatoxin B1;2;0.25;1381;208.5;96;113;2097;103;492;273.5
46;36h;1;10;Cadmium chloride;2;2.5;1189;349;126;357;3678;272;1060;369.5
47;36h;1;12;Lasiocarpine;2;10;1662;342.5;110.5;103;2855;101;617;282
48;36h;1;0;NC;2;0;1196;274;113;118;2860;68;465;260.5
55;36h;2;7;PFOS;1;120;1056;246;108;151;2393.5;80.5;493;265.5
56;36h;2;8;PFOA;1;120;1030;226;82;146;2329;116;384;278
57;36h;2;9;Aflatoxin B1;1;0.75;1717;345.5;113;158;3769.5;165;672;478.5
58;36h;2;10;Cadmium chloride;1;7.5;1418;699.5;124;640;4401;419;1624;989
59;36h;2;12;Lasiocarpine;1;30;1315;487.5;126.5;160;3737;213;745.5;388
60;36h;2;0;NC;1;0;1114;233;98;120;3469;109;317.5;284
67;36h;2;7;PFOS;2;40;1030.5;218;91;132;2859;71.5;444;255.5
68;36h;2;8;PFOA;2;40;987;197;96;118;3135;85;398;266.5
69;36h;2;9;Aflatoxin B1;2;0.25;1446;299.5;129;115.5;4314;237;497;443.5
70;36h;2;10;Cadmium chloride;2;2.5;1064;484;158;292;5024.5;382;999;436
71;36h;2;12;Lasiocarpine;2;10;1392;321.5;114;95;2350;76;498;271
72;36h;2;0;NC;2;0;961;239.5;169.5;140;2258;93;405;268
79;72h;2;7;PFOS;1;120;1109;275;75.5;140.5;1765;73;421;217
80;72h;2;8;PFOA;1;120;1324;244.5;93;146;2539;91.5;375;243
81;72h;2;9;Aflatoxin B1;1;0.75;1483;415.5;153;179;4515;216;636;358
82;72h;2;10;Cadmium chloride;1;7.5;1518;742.5;141;654.5;3802.5;394;1606;764
83;72h;2;12;Lasiocarpine;1;30;1215;641.5;242;156;5875;879.5;559;440.5
84;72h;2;0;NC;1;0;1473;265;81.5;139;3009.5;203;400;274
91;72h;2;7;PFOS;2;40;1432;217.5;83;111;1638;100;289;179
92;72h;2;8;PFOA;2;40;1456.5;242.5;103.5;134;2671;170;363.5;251.5
93;72h;2;9;Aflatoxin B1;2;0.25;1553;305;117;154;3070.5;119;392;318
94;72h;2;10;Cadmium chloride;2;2.5;1409.5;236;105;286;1985;74.5;441;215.5
95;72h;2;12;Lasiocarpine;2;10;1664;344.5;248;172;3581;327;467.5;396.5
96;72h;2;0;NC;2;0;1608.5;253.5;108;130;2582;125;343;260
103;72h;3;7;PFOS;1;120;1023.5;287;90;168;2851;96;514;234
104;72h;3;8;PFOA;1;120;1250;253.5;101;152;2677;156;419;238
105;72h;3;9;Aflatoxin B1;1;0.75;1277;451.5;171.5;158;3544;168;484;373
106;72h;3;10;Cadmium chloride;1;7.5;1580;809;177;756;4748;655;1768.5;661
107;72h;3;12;Lasiocarpine;1;30;1155;484;245.5;176;2584;228;598;326
108;72h;3;0;NC;1;0;1000.5;246.5;80;149;2737;206;406;320
115;72h;3;7;PFOS;2;40;1084;218;83;142;1443;85.5;395.5;199
116;72h;3;8;PFOA;2;40;1050;274.5;103;137;3073.5;226;343;318.5
117;72h;3;9;Aflatoxin B1;2;0.25;1098.5;306;125;147.5;2201.5;77;371.5;264
118;72h;3;10;Cadmium chloride;2;2.5;1022.5;246.5;87;247;2296.5;85.5;297;200
119;72h;3;12;Lasiocarpine;2;10;940;333;324;195;2515;208.5;452;309
120;72h;3;0;NC;2;0;1082;329;85;187;3264;102;420.5;245.5
127;36h;3;7;PFOS;1;120;782.5;245.5;202;159.5;2978;167;515.5;424
128;36h;3;8;PFOA;1;120;740;199;118;144;2210.5;79;421;282.5
129;36h;3;9;Aflatoxin B1;1;0.75;1394;379.5;140;153;3443;168;637;550.5
130;36h;3;10;Cadmium chloride;1;7.5;1349;618;124;538;4216;379.5;1439;918.5
131;36h;3;12;Lasiocarpine;1;30;1240;548.5;143;191;4573.5;296;992;541
132;36h;3;0;NC;1;0;776;254;87;132;2377.5;52.5;347;285
139;36h;3;7;PFOS;2;40;848;258.5;95;169.5;3358.5;82;511;342.5
140;36h;3;8;PFOA;2;40;774.5;300.5;98;153;5056;144.5;390.5;482.5
141;36h;3;9;Aflatoxin B1;2;0.25;1033;380.5;119;164;3896;192.5;596.5;439
142;36h;3;10;Cadmium chloride;2;2.5;865;385;141;445;3673;207;893;474
143;36h;3;12;Lasiocarpine;2;10;1157;390;136;167;3858;124.5;597;472
144;36h;3;0;NC;2;0;746.5;277;100;155;4518;108;394;376
145;72h;4;10;Cadmium chloride;1;7.5;1375.5;580;139.5;708.5;4145.5;400;1668.5;687
146;72h;4;10;Cadmium chloride;2;2.5;950;307;90;390.5;4977.5;251;616.5;399.5
147;72h;4;0;NC;1;0;934.5;309.5;84;170;3766;135;368.5;297
147;72h;4;0;NC;2;0;934.5;309.5;84;170;3766;135;368.5;297
