sample_number;time_point;biol_rep;substance_number;substance;concentration_number;concentration_uM;p-elF4B;Ubiquitin k48;p-Histone H3;HSP70;p-RNA pol II;cleaved PARP;total LC3B;HIF 1-alpha
157;36h;1;7;PFOS;1;300;1835;98;79;445;2814;103;3030;1110
158;36h;1;8;PFOA;1;480;1007;77;81;623;2459;75;2568;602
159;36h;1;9;AB1;1;30;1792;121;83;389;3035;332;2206;617
160;36h;1;10;Cadmium chloride;1;30;1664;103;80;701;2937;323;3280;673
161;36h;1;12;Lasiocarpine;1;30;989;103;122;492;3314;141;2578;1252
162;36h;1;0;NC;1;0;913;84;82;530;2076;96;2860;789
169;36h;1;7;PFOS;2;100;746;87;80;467;1821;63;2527;727
170;36h;1;8;PFOA;2;160;876;69;89;575;3270;122;2644;1157
171;36h;1;9;AB1;2;10;1294;93;76;528;3048;132;2621;620
172;36h;1;10;Cadmium chloride;2;10;1113;79;72;462;1610;56;2666;443
173;36h;1;12;Lasiocarpine;2;10;885;87;76;599;2110;78;2914;802
174;36h;1;0;NC;2;0;1032;82;74;549;1846;64;2773;753
181;72h;1;7;PFOS;1;300;1362;91;64;318;2415;208;2461;259
182;72h;1;8;PFOA;1;480;2362;74;69;421;2573;54;2163;420
183;72h;1;9;AB1;1;30;2549;125;68;549;4053;148;2584;556
184;72h;1;10;Cadmium chloride;1;30;1347;102;64;625;2026;88;2491;532
185;72h;1;12;Lasiocarpine;1;30;1049;82;80;503;3080;111;1771;562
186;72h;1;0;NC;1;0;1331;104;71;411;2532;66;1832;334
193;72h;1;7;PFOS;2;100;1139;75;65;442;1991;66;2449;517
194;72h;1;8;PFOA;2;160;1058;73;68;504;2073;63;2301;415
195;72h;1;9;AB1;2;10;2403;100;66;447;2823;67;2432;498
196;72h;1;10;Cadmium chloride;2;10;1174;76;63;438;1910;50;2398;370
197;72h;1;12;Lasiocarpine;2;10;1131;74;67;539;2230;67;2329;468
198;72h;1;0;NC;2;0;1325;84;70;523;2623;64;2556;517
205;36h;2;7;PFOS;1;300;1379;75;65;349;2063;87;2485;598
206;36h;2;8;PFOA;1;480;1173;74;76;560;3066;86;2440;555
207;36h;2;9;AB1;1;30;1813;93;74;488;3286;293;2411;560
208;36h;2;10;Cadmium chloride;1;30;2046;114;69;611;2508;275;2829;605
209;36h;2;12;Lasiocarpine;1;30;1589;82;74;584;3118;79;2540;823
210;36h;2;0;NC;1;0;1696;81;69;539;3154;71;2390;772
217;36h;2;7;PFOS;2;100;730;87;76;366;1833;58;2069;625
218;36h;2;8;PFOA;2;160;917;78;71;489;2436;66;2480;730
219;36h;2;9;AB1;2;10;1424;88;66;438;2717;141;2352;600
220;36h;2;10;Cadmium chloride;2;10;1063;81;67;400;1487;49;2466;499
221;36h;2;12;Lasiocarpine;2;10;1052;81;68;419;2457;68;2501;690
222;36h;2;0;NC;2;0;863;80;61;425;1897;60;2325;608
229;72h;2;7;PFOS;1;300;1521;120;67;212;2482;184;1639;270
230;72h;2;8;PFOA;1;480;1941;74;57;362;2428;52;2022;238
231;72h;2;9;AB1;1;30;2151;101;58;368;2876;85;2105;543
232;72h;2;10;Cadmium chloride;1;30;1415;95;58;428;2049;71;1932;464
233;72h;2;12;Lasiocarpine;1;30;1012;66;64;315;1654;51;1824;366
234;72h;2;0;NC;1;0;859;70;61;409;1973;57;2110;413
241;72h;2;7;PFOS;2;100;925;76;65;365;3257;220;1970;488
242;72h;2;8;PFOA;2;160;891;71;66;428;3213;108;2241;517
243;72h;2;9;AB1;2;10;1751;82;62;505;2475;80;2580;489
244;72h;2;10;Cadmium chloride;2;10;949;70;67;498;2629;84;2289;461
245;72h;2;12;Lasiocarpine;2;10;1001;69;64;411;3729;116;2369;513
246;72h;2;0;NC;2;0;838;66;61;409;2624;81;2007;476
253;36h;3;7;PFOS;1;300;2048;147;74;297;5536;235;2198;1794
254;36h;3;8;PFOA;1;480;737;74;70;525;3466;94;2156;811
255;36h;3;9;AB1;1;30;1215;73;59;375;4195;1069;2289;755
256;36h;3;10;Cadmium chloride;1;30;1116;112;68;662;3706;887;2663;1319
257;36h;3;12;Lasiocarpine;1;30;722;72;69;447;3733;116;2270;1470
258;36h;3;0;NC;1;0;910;85;71;364;4428;107;2224;1118
265;36h;3;7;PFOS;2;100;617;99;66;374;3827;284;1907;1047
266;36h;3;8;PFOA;2;160;542;83;70;339;2502;75;1195;792
267;36h;3;9;AB1;2;10;1387;87;60;392;2868;300;2259;535
268;36h;3;10;Cadmium chloride;2;10;726;77;58;409;2499;84;2235;539
269;36h;3;12;Lasiocarpine;2;10;795;69;62;369;2328;86;2066;768
270;36h;3;0;NC;2;0;674;73;66;538;3506;128;2196;1335
277;72h;3;7;PFOS;1;300;1726;152;51;122;2036;64;1938;280
278;72h;3;8;PFOA;1;480;1732;70;54;346;1903;41;1775;191
279;72h;3;9;AB1;1;30;1758;93;52;282;3240;73;1648;366
280;72h;3;10;Cadmium chloride;1;30;934;82;60;418;2773;253;2356;636
281;72h;3;12;Lasiocarpine;1;30;757;65;59;381;3480;97;2108;574
282;72h;3;0;NC;1;0;1273;75;63;259;3947;96;1859;535
289;72h;3;7;PFOS;2;100;623;67;58;399;3577;186;1861;476
290;72h;3;8;PFOA;2;160;539;62;57;362;2248;55;1981;276
291;72h;3;9;AB1;2;10;1471;86;57;257;2727;86;1651;524
292;72h;3;10;Cadmium chloride;2;10;519;67;52;609;3769;111;2499;558
293;72h;3;12;Lasiocarpine;2;10;627;64;54;300;1412;55;1916;258
294;72h;3;0;NC;2;0;672;81;62;338;1583;52;1981;416
295;36h;4;7;PFOS;1;300;1395;72;60;414;4705;321;2069;1717
296;36h;4;9;AB1;1;30;1505;75;57;431;3755;235;2294;1299
297;36h;4;10;Cadmium chloride;1;30;993;82;58;307;699;50;2107;352
298;36h;4;7;PFOS;2;100;477;75;57;337;2682;138;1745;981
299;36h;4;9;AB1;2;10;830;90;53;417;2276;74;2119;924
300;36h;4;0;NC;1;0;781;84;62;457;2577;99;2153;1207
300;36h;4;0;NC;2;0;781;84;62;457;2577;99;2153;1207
301;72h;4;7;PFOS;1;300;1409;150;60;180;3125;175;2052;204
302;72h;4;9;AB1;1;30;1552;78;56;333;1614;58;2007;373
303;72h;4;10;Cadmium chloride;1;30;1003;138;57;508;2071;405;2003;672
304;72h;4;7;PFOS;2;100;569;71;62;464;3783;141;1815;564
305;72h;4;9;AB1;2;10;1133;100;59;403;3497;147;1534;905
306;72h;4;0;NC;1;0;676;86;59;444;4340;140;2037;714
306;72h;4;0;NC;2;0;676;86;59;444;4340;140;2037;714
